date,PRC
1/3/2006,53.35
1/4/2006,54.59
1/5/2006,54.65
1/6/2006,55.81
1/9/2006,55.88
1/10/2006,55.38
1/11/2006,57
1/12/2006,56.69
1/13/2006,56.79
1/17/2006,56.24
1/18/2006,55.53
1/19/2006,57.34
1/20/2006,56.1
1/23/2006,57.25
1/24/2006,57.12
1/25/2006,57.3
1/26/2006,58.45
1/27/2006,57.74
1/30/2006,58.25
1/31/2006,58.52
2/1/2006,59.3
2/2/2006,59.51
2/3/2006,58.87
2/6/2006,60.18
2/7/2006,59.41
2/8/2006,60.16
2/9/2006,59.76
2/10/2006,59.95
2/13/2006,59.86
2/14/2006,60.05
2/15/2006,55.1
2/16/2006,56.15
2/17/2006,55.52
2/21/2006,56.5
2/22/2006,56.7
2/23/2006,56.5
2/24/2006,55.93
2/27/2006,55.87
2/28/2006,55.3
3/1/2006,56.3
3/2/2006,56.25
3/3/2006,56.87
3/6/2006,56.42
3/7/2006,55.22
3/8/2006,54.55
3/9/2006,53.51
3/10/2006,54.62
3/13/2006,55.36
3/14/2006,56.96
3/15/2006,56.94
3/16/2006,57.1
3/17/2006,57
3/20/2006,57.25
3/21/2006,56.18
3/22/2006,56.04
3/23/2006,54.91
3/24/2006,54.8
3/27/2006,54.55
3/28/2006,54.41
3/29/2006,55.19
3/30/2006,55.69
3/31/2006,55.86
4/3/2006,56.38
4/4/2006,57.4
4/5/2006,58.56
4/6/2006,58.81
4/7/2006,57.75
4/10/2006,57.41
4/11/2006,56.38
4/12/2006,56.38
4/13/2006,56.2
4/17/2006,56.67
4/18/2006,58
4/19/2006,59.4
4/20/2006,59.43
4/21/2006,59.75
4/24/2006,59.91
4/25/2006,59.72
4/26/2006,60.27
4/27/2006,61.5
4/28/2006,60.79
5/1/2006,60.39
5/2/2006,62.73
5/3/2006,61.11
5/4/2006,62.2
5/5/2006,63.68
5/8/2006,63.55
5/9/2006,63.85
5/10/2006,63.88
5/11/2006,63.51
5/12/2006,62.45
5/15/2006,61.61
5/16/2006,61.33
5/17/2006,58.35
5/18/2006,57.88
5/19/2006,58.6
5/22/2006,57.19
5/23/2006,56.48
5/24/2006,56.31
5/25/2006,57.38
5/26/2006,57.15
5/30/2006,56.45
5/31/2006,57.85
6/1/2006,58.44
6/2/2006,59.15
6/5/2006,58.13
6/6/2006,57.35
6/7/2006,56.33
6/8/2006,55.1
6/9/2006,54.16
6/12/2006,52.84
6/13/2006,50.07
6/14/2006,51.77
6/15/2006,54.09
6/16/2006,52.94
6/19/2006,53.03
6/20/2006,53.54
