gvkey,iid,datadate,tic,prccd,prchd,prcld,prcod
028838,90,2006-01-03,CS,53.35000000,53.50000000,52.22000000,52.49000000
028838,90,2006-01-04,CS,54.59000000,54.65000000,53.99000000,54.08000000
028838,90,2006-01-05,CS,54.65000000,54.68000000,54.33000000,54.51000000
028838,90,2006-01-06,CS,55.81000000,55.87000000,55.15000000,55.37000000
028838,90,2006-01-09,CS,55.88000000,55.90000000,55.51000000,55.73000000
028838,90,2006-01-10,CS,55.38000000,55.42000000,54.93000000,54.99000000
028838,90,2006-01-11,CS,57.00000000,57.19000000,56.09000000,56.11000000
028838,90,2006-01-12,CS,56.69000000,57.10000000,56.56000000,56.81000000
028838,90,2006-01-13,CS,56.79000000,56.83000000,56.09000000,56.28000000
028838,90,2006-01-17,CS,56.24000000,56.26000000,55.89000000,55.99000000
028838,90,2006-01-18,CS,55.53000000,55.90000000,55.07010000,55.81000000
028838,90,2006-01-19,CS,57.34000000,57.50000000,56.36000000,56.38000000
028838,90,2006-01-20,CS,56.10000000,56.89000000,55.98000000,56.89000000
028838,90,2006-01-23,CS,57.25000000,57.58000000,56.67000000,56.67000000
028838,90,2006-01-24,CS,57.12000000,57.32000000,56.69000000,56.80000000
028838,90,2006-01-25,CS,57.30000000,57.45000000,57.08000000,57.31000000
028838,90,2006-01-26,CS,58.45000000,58.56000000,57.74000000,57.79000000
028838,90,2006-01-27,CS,57.74000000,58.34000000,57.48000000,57.96000000
028838,90,2006-01-30,CS,58.25000000,58.29000000,57.79000000,57.96000000
028838,90,2006-01-31,CS,58.52000000,58.73000000,57.89000000,57.94000000
028838,90,2006-02-01,CS,59.30000000,59.44000000,58.72100000,58.73000000
028838,90,2006-02-02,CS,59.51000000,60.46000000,59.17000000,60.02000000
028838,90,2006-02-03,CS,58.87000000,59.25000000,58.22000000,58.23000000
028838,90,2006-02-06,CS,60.18000000,60.43000000,59.95000000,60.02000000
028838,90,2006-02-07,CS,59.41000000,59.75000000,59.35000000,59.52000000
028838,90,2006-02-08,CS,60.16000000,60.23000000,59.17000000,59.42000000
028838,90,2006-02-09,CS,59.76000000,60.28000000,59.68000000,59.79000000
028838,90,2006-02-10,CS,59.95000000,60.35000000,59.60000000,60.23000000
028838,90,2006-02-13,CS,59.86000000,60.12000000,59.32000000,59.32000000
028838,90,2006-02-14,CS,60.05000000,60.36000000,59.19000000,59.25000000
028838,90,2006-02-15,CS,55.10000000,55.47000000,54.77000000,55.10000000
028838,90,2006-02-16,CS,56.15000000,56.15000000,55.16000000,55.17000000
028838,90,2006-02-17,CS,55.52000000,55.56000000,55.20000000,55.29000000
028838,90,2006-02-21,CS,56.50000000,56.65000000,56.20000000,56.41000000
028838,90,2006-02-22,CS,56.70000000,56.85000000,56.06000000,56.20000000
028838,90,2006-02-23,CS,56.50000000,56.92000000,56.47000000,56.88000000
028838,90,2006-02-24,CS,55.93000000,56.14000000,55.61000000,56.06000000
028838,90,2006-02-27,CS,55.87000000,55.99000000,55.33000000,55.61000000
028838,90,2006-02-28,CS,55.30000000,55.58000000,55.19000000,55.36000000
028838,90,2006-03-01,CS,56.30000000,56.58000000,56.02000000,56.58000000
028838,90,2006-03-02,CS,56.25000000,56.33000000,55.86000000,55.97000000
028838,90,2006-03-03,CS,56.87000000,57.04000000,56.46000000,56.55000000
028838,90,2006-03-06,CS,56.42000000,56.86000000,56.13000000,56.79000000
